id,name,type,category,url,display_name
1,Model 1,interior_door,Andromeda,/images/products/interior_doors/Andromeda/Model1.jpg,Interior doors
2,Model 2,interior_door,Andromeda,/images/products/interior_doors/Andromeda/Model2.jpg,Interior doors
3,Model 3,interior_door,Andromeda,/images/products/interior_doors/Andromeda/Model3.jpg,Interior doors
4,Model 4,interior_door,Andromeda,/images/products/interior_doors/Andromeda/Model4.jpg,Interior doors
5,Antiope 1,interior_door,Antiope,/images/products/interior_doors/Antiope/Antiope1.jpg,Interior doors
6,Antiope 2,interior_door,Antiope,/images/products/interior_doors/Antiope/Antiope2.jpg,Interior doors
7,Antiope 3,interior_door,Antiope,/images/products/interior_doors/Antiope/Antiope3.jpg,Interior doors
8,Arena 1,interior_door,Arena,/images/products/interior_doors/Arena/Arena1.jpg,Interior doors
9,Arena 2,interior_door,Arena,/images/products/interior_doors/Arena/Arena2.jpg,Interior doors
10,Arena 3,interior_door,Arena,/images/products/interior_doors/Arena/Arena3.jpg,Interior doors
11,Arena 4,interior_door,Arena,/images/products/interior_doors/Arena/Arena4.jpg,Interior doors
12,Arena 5,interior_door,Arena,/images/products/interior_doors/Arena/Arena5.jpg,Interior doors
13,Arena 6,interior_door,Arena,/images/products/interior_doors/Arena/Arena6.jpg,Interior doors
14,Arena 7,interior_door,Arena,/images/products/interior_doors/Arena/Arena7.jpg,Interior doors
15,Model 6,interior_door,Asteria,/images/products/interior_doors/Asteria/Model6.jpg,Interior doors
16,Model 7,interior_door,Asteria,/images/products/interior_doors/Asteria/Model7.jpg,Interior doors
17,Model 8,interior_door,Asteria,/images/products/interior_doors/Asteria/Model8.jpg,Interior doors
18,Model 9,interior_door,Asteria,/images/products/interior_doors/Asteria/Model9.jpg,Interior doors
19,Model 1,interior_door,Asteria_NL,/images/products/interior_doors/Asteria_NL/Model1.jpg,Interior doors
20,Model 2,interior_door,Asteria_NL,/images/products/interior_doors/Asteria_NL/Model2.jpg,Interior doors
21,Model 3,interior_door,Asteria_NL,/images/products/interior_doors/Asteria_NL/Model3.jpg,Interior doors
22,Model 4,interior_door,Asteria_NL,/images/products/interior_doors/Asteria_NL/Model4.jpg,Interior doors
23,Model 5,interior_door,Asteria_NL,/images/products/interior_doors/Asteria_NL/Model5.jpg,Interior doors
24,Model 6,interior_door,Asteria_NL,/images/products/interior_doors/Asteria_NL/Model6.jpg,Interior doors
25,Model 7,interior_door,Asteria_NL,/images/products/interior_doors/Asteria_NL/Model7.jpg,Interior doors
26,Model 8,interior_door,Asteria_NL,/images/products/interior_doors/Asteria_NL/Model8.jpg,Interior doors
27,Model 9,interior_door,Asteria_NL,/images/products/interior_doors/Asteria_NL/Model9.jpg,Interior doors
28,Century 1,interior_door,Century,/images/products/interior_doors/Century/Century1.jpg,Interior doors
29,Century 2,interior_door,Century,/images/products/interior_doors/Century/Century2.jpg,Interior doors
30,Century 3,interior_door,Century,/images/products/interior_doors/Century/Century3.jpg,Interior doors
31,Century 4,interior_door,Century,/images/products/interior_doors/Century/Century4.jpg,Interior doors
32,Century 5,interior_door,Century,/images/products/interior_doors/Century/Century5.jpg,Interior doors
33,Century 6,interior_door,Century,/images/products/interior_doors/Century/Century6.jpg,Interior doors
34,Century 7,interior_door,Century,/images/products/interior_doors/Century/Century7.jpg,Interior doors
